text,category,cleaned_text
The furniture in my room was worn out.,Rooms,furniture room worn
"We loved the carpet, it was so dirty.",Rooms,loved carpet dirty
Housekeeping did not clean the sink.,Rooms,housekeeping not clean sink
The tour area was overcrowded.,Recreation,tour area overcrowded
We were greeted by a welcoming service personnel.,Services,greeted welcoming service personnel
Dining experience was bad because of the tasty curry.,Food,dining experience bad tasty curry
"Don't miss the music, it is dirty.",Recreation,dont miss music dirty
Bathroom toilet was modern.,Rooms,bathroom toilet modern
The beer was non-existent.,Food,beer nonexistent
The staff at the front desk were ignored.,Services,staff front desk ignored
Check-in was slow thanks to the porter.,Services,checkin slow thanks porter
Check-in was attentive thanks to the front desk agent.,Services,checkin attentive thanks front desk agent
"We loved the shower, it was so trapping.",Rooms,loved shower trapping
Great beverage selection but the beverage selection was undercooked.,Food,great beverage selection beverage selection undercooked
The tea was yummy.,Food,tea yummy
"We loved the sheets, it was so clean.",Rooms,loved sheet clean
Amazing hospitality from the bellboy.,Services,amazing hospitality bellboy
Swimming in the music was the highlight.,Recreation,swimming music highlight
Room service brought us cold menu options.,Food,roomservice brought u cold menu option
Sleeping was hard because of the AC.,Rooms,sleeping hard ac
The excursion equipment was expensive.,Recreation,excursion equipment expensive
We were greeted by a rude receptionist.,Services,greeted rude receptionist
"Don't miss the kids club, it is unsafe.",Recreation,dont miss kid club unsafe
Housekeeping did not clean the suite aesthetic.,Rooms,housekeeping not clean suite aesthetic
"Service was polite, especially the concierge.",Services,service polite especially concierge
I complained to the hospitality team.,Services,complained hospitality team
Swimming in the entertainment was the highlight.,Recreation,swimming entertainment highlight
The sauce was mediocre.,Food,sauce mediocre
"Don't miss the tour, it is cheap.",Recreation,dont miss tour cheap
The cleaning staff was very friendly.,Services,cleaning staff friendly
We were greeted by a arrogant receptionist.,Services,greeted arrogant receptionist
The service personnel was very polite.,Services,service personnel polite
Evening wellness center was expensive.,Recreation,evening wellness center expensive
I complained to the concierge.,Services,complained concierge
The coffee was exquisite.,Food,coffee exquisite
Great chicken but the cake was cold.,Food,great chicken cake cold
Great burger but the bread was meager.,Food,great burger bread meager
We were greeted by a rude driver.,Services,greeted rude driver
Our room was very quiet and had a great acoustics.,Rooms,room quiet great acoustic
The hotel has a great excursion.,Recreation,hotel great excursion
We were greeted by a rude bellboy.,Services,greeted rude bellboy
The spa area was clean.,Recreation,spa area clean
I complained to the driver.,Services,complained driver
I complained to the receptionist.,Services,complained receptionist
I complained to the concierge.,Services,complained concierge
"The suite needs renovation, especially the view.",Rooms,suite need renovation especially view
Breakfast buffet had amazing bread.,Food,breakfast buffet amazing bread
Swimming in the fitness area was the highlight.,Recreation,swimming fitness area highlight
"The suite needs renovation, especially the window.",Rooms,suite need renovation especially window
Swimming in the wellness center was the highlight.,Recreation,swimming wellness center highlight
I complained to the front desk agent.,Services,complained front desk agent
The bed in my room was clean.,Rooms,bed room clean
I complained to the bellboy.,Services,complained bellboy
I ordered culinary experience and it tasted hot.,Food,ordered culinary experience tasted hot
"The suite needs renovation, especially the sound insulation.",Rooms,suite need renovation especially sound insulation
We spent all day at the beach.,Recreation,spent day beach
The acoustics in my room was dated.,Rooms,acoustic room dated
We spent all day at the pool.,Recreation,spent day pool
We spent all day at the music.,Recreation,spent day music
We waited too long for the driver.,Services,waited long driver
Housekeeping did not clean the furniture.,Rooms,housekeeping not clean furniture
The pool equipment was cheap.,Recreation,pool equipment cheap
Bathroom lavatory was dated.,Rooms,bathroom lavatory dated
My kids loved the tour.,Recreation,kid loved tour
Bathroom balcony was old.,Rooms,bathroom balcony old
Great dessert but the culinary experience was stale.,Food,great dessert culinary experience stale
Dining experience was bad because of the hot beverage selection.,Food,dining experience bad hot beverage selection
The massage area was cheap.,Recreation,massage area cheap
Bathroom AC was cozy.,Rooms,bathroom ac cozy
"The suite needs renovation, especially the sound insulation.",Rooms,suite need renovation especially sound insulation
Check-in was rude thanks to the service personnel.,Services,checkin rude thanks service personnel
The TV in my room was broken.,Rooms,tv room broken
"We loved the view, it was so comfortable.",Rooms,loved view comfortable
I complained to the service personnel.,Services,complained service personnel
I ordered beer and it tasted cold.,Food,ordered beer tasted cold
Great gastronomy but the fish was hot.,Food,great gastronomy fish hot
The acoustics made the stay old.,Rooms,acoustic made stay old
"Don't miss the club, it is dangerous.",Recreation,dont miss club dangerous
Check-in was attentive thanks to the hospitality team.,Services,checkin attentive thanks hospitality team
We ate at the restaurant and had tea.,Food,ate restaurant tea
Swimming in the kids club was the highlight.,Recreation,swimming kid club highlight
Evening club was boring.,Recreation,evening club boring
The hotel has a great club.,Recreation,hotel great club
Bathroom view was old.,Rooms,bathroom view old
We ate at the restaurant and had protein.,Food,ate restaurant protein
Dining experience was bad because of the tasteless salad.,Food,dining experience bad tasteless salad
Bathroom window was spacious.,Rooms,bathroom window spacious
We ate at the restaurant and had rice.,Food,ate restaurant rice
"Service was unhelpful, especially the driver.",Services,service unhelpful especially driver
The sound insulation in my room was clean.,Rooms,sound insulation room clean
The staff at the front desk were careless.,Services,staff front desk careless
We were greeted by a attentive manager.,Services,greeted attentive manager
The AC in my room was dated.,Rooms,ac room dated
Great tea but the soup was exquisite.,Food,great tea soup exquisite
I complained to the front desk agent.,Services,complained front desk agent
The staff at the front desk were unhelpful.,Services,staff front desk unhelpful
We ate at the restaurant and had rice.,Food,ate restaurant rice
The carpet made the stay questionable.,Rooms,carpet made stay questionable
Dining experience was bad because of the spicy menu options.,Food,dining experience bad spicy menu option
Sleeping was hard because of the AC.,Rooms,sleeping hard ac
Swimming in the aquatic facility was the highlight.,Recreation,swimming aquatic facility highlight
The staff at the front desk were unhelpful.,Services,staff front desk unhelpful
My kids loved the fitness area.,Recreation,kid loved fitness area
We were greeted by a professional driver.,Services,greeted professional driver
Breakfast buffet had amazing rice.,Food,breakfast buffet amazing rice
"Don't miss the massage, it is unsafe.",Recreation,dont miss massage unsafe
"Don't miss the gym, it is unsafe.",Recreation,dont miss gym unsafe
Check-in was polite thanks to the service personnel.,Services,checkin polite thanks service personnel
We waited too long for the porter.,Services,waited long porter
"Don't miss the wellness center, it is fun.",Recreation,dont miss wellness center fun
We were greeted by a arrogant porter.,Services,greeted arrogant porter
The sound insulation made the stay comfortable.,Rooms,sound insulation made stay comfortable
The fridge in my room was trapping.,Rooms,fridge room trapping
"We loved the decor, it was so cozy.",Rooms,loved decor cozy
I complained to the bellboy.,Services,complained bellboy
The staff at the front desk were rude.,Services,staff front desk rude
Swimming in the pool was the highlight.,Recreation,swimming pool highlight
The lights made the stay spacious.,Rooms,light made stay spacious
Amazing hospitality from the porter.,Services,amazing hospitality porter
We ate at the restaurant and had pizza.,Food,ate restaurant pizza
We waited too long for the staff.,Services,waited long staff
The burger presentation was dry.,Food,burger presentation dry
The hotel has a great spa.,Recreation,hotel great spa
I ordered pizza and it tasted greasy.,Food,ordered pizza tasted greasy
"The suite needs renovation, especially the door.",Rooms,suite need renovation especially door
Room service brought us cold breakfast.,Food,roomservice brought u cold breakfast
"We loved the shower, it was so questionable.",Rooms,loved shower questionable
The pool equipment was cheap.,Recreation,pool equipment cheap
Check-in was attentive thanks to the service personnel.,Services,checkin attentive thanks service personnel
My kids loved the excursion.,Recreation,kid loved excursion
We were greeted by a rude manager.,Services,greeted rude manager
I complained to the bellboy.,Services,complained bellboy
"We loved the wifi, it was so old.",Rooms,loved wifi old
We were greeted by a unhelpful receptionist.,Services,greeted unhelpful receptionist
"Service was fast, especially the front desk agent.",Services,service fast especially front desk agent
The lavatory made the stay broken.,Rooms,lavatory made stay broken
"Don't miss the aquatic facility, it is fun.",Recreation,dont miss aquatic facility fun
Check-in was professional thanks to the bartender.,Services,checkin professional thanks bartender
I complained to the receptionist.,Services,complained receptionist
Evening tennis court was clean.,Recreation,evening tennis court clean
Evening massage was fun.,Recreation,evening massage fun
Great dining but the beer was bland.,Food,great dining beer bland
The bar area was expensive.,Recreation,bar area expensive
Swimming in the tour was the highlight.,Recreation,swimming tour highlight
Room service brought us cold tea.,Food,roomservice brought u cold tea
Evening aquatic facility was unsafe.,Recreation,evening aquatic facility unsafe
"Don't miss the club, it is lacking.",Recreation,dont miss club lacking
The manager was very professional.,Services,manager professional
The gastronomy was mediocre.,Food,gastronomy mediocre
The dining was disappointing.,Food,dining disappointing
Evening gym was lacking.,Recreation,evening gym lacking
We spent all day at the tour.,Recreation,spent day tour
Our room was very quiet and had a great carpet.,Rooms,room quiet great carpet
Swimming in the entertainment was the highlight.,Recreation,swimming entertainment highlight
Swimming in the excursion was the highlight.,Recreation,swimming excursion highlight
I ordered curry and it tasted overcooked.,Food,ordered curry tasted overcooked
We were greeted by a helpful concierge.,Services,greeted helpful concierge
We ate at the restaurant and had bread.,Food,ate restaurant bread
The culinary experience presentation was non-existent.,Food,culinary experience presentation nonexistent
Bathroom wifi was broken.,Rooms,bathroom wifi broken
The massage area was amazing.,Recreation,massage area amazing
Swimming in the excursion was the highlight.,Recreation,swimming excursion highlight
Amazing hospitality from the bellboy.,Services,amazing hospitality bellboy
My kids loved the spa.,Recreation,kid loved spa
Dining experience was bad because of the stale burger.,Food,dining experience bad stale burger
"We loved the shower, it was so smelly.",Rooms,loved shower smelly
I complained to the driver.,Services,complained driver
We were greeted by a disinterested cleaning staff.,Services,greeted disinterested cleaning staff
The concierge was very warm.,Services,concierge warm
The fridge in my room was clean.,Rooms,fridge room clean
The fridge in my room was worn out.,Rooms,fridge room worn
The club area was clean.,Recreation,club area clean
We spent all day at the pool.,Recreation,spent day pool
Check-in was slow thanks to the concierge.,Services,checkin slow thanks concierge
Housekeeping did not clean the lights.,Rooms,housekeeping not clean light
We ate at the restaurant and had salad.,Food,ate restaurant salad
The acoustics in my room was clean.,Rooms,acoustic room clean
I ordered rice and it tasted fresh.,Food,ordered rice tasted fresh
"The suite needs renovation, especially the lavatory.",Rooms,suite need renovation especially lavatory
I ordered pizza and it tasted hot.,Food,ordered pizza tasted hot
Room service brought us cold curry.,Food,roomservice brought u cold curry
The staff at the front desk were slow.,Services,staff front desk slow
Great culinary experience but the dessert was bland.,Food,great culinary experience dessert bland
I ordered dining and it tasted exquisite.,Food,ordered dining tasted exquisite
"Service was slow, especially the staff.",Services,service slow especially staff
Swimming in the wellness center was the highlight.,Recreation,swimming wellness center highlight
The staff at the front desk were slow.,Services,staff front desk slow
"The suite needs renovation, especially the shower.",Rooms,suite need renovation especially shower
I complained to the manager.,Services,complained manager
Housekeeping did not clean the pillow.,Rooms,housekeeping not clean pillow
The excursion area was dangerous.,Recreation,excursion area dangerous
Check-in was careless thanks to the hospitality team.,Services,checkin careless thanks hospitality team
"The suite needs renovation, especially the door.",Rooms,suite need renovation especially door
The toilet in my room was tiny.,Rooms,toilet room tiny
The excursion equipment was expensive.,Recreation,excursion equipment expensive
The concierge was very professional.,Services,concierge professional
The waiter was very ignored.,Services,waiter ignored
Sleeping was hard because of the lavatory.,Rooms,sleeping hard lavatory
The culinary experience was tasteless.,Food,culinary experience tasteless
Sleeping was hard because of the furniture.,Rooms,sleeping hard furniture
Evening entertainment was clean.,Recreation,evening entertainment clean
Great tea but the wine was overcooked.,Food,great tea wine overcooked
The menu options was spicy.,Food,menu option spicy
"The suite needs renovation, especially the toilet.",Rooms,suite need renovation especially toilet
The balcony in my room was cozy.,Rooms,balcony room cozy
"Service was slow, especially the concierge.",Services,service slow especially concierge
The salad was bland.,Food,salad bland
Amazing hospitality from the bellboy.,Services,amazing hospitality bellboy
Housekeeping did not clean the shower.,Rooms,housekeeping not clean shower
We spent all day at the gym.,Recreation,spent day gym
The tennis court area was overcrowded.,Recreation,tennis court area overcrowded
Amazing hospitality from the receptionist.,Services,amazing hospitality receptionist
The hospitality team was very arrogant.,Services,hospitality team arrogant
Evening beach was overcrowded.,Recreation,evening beach overcrowded
We ate at the restaurant and had coffee.,Food,ate restaurant coffee
The gym area was unsafe.,Recreation,gym area unsafe
Swimming in the spa was the highlight.,Recreation,swimming spa highlight
Breakfast buffet had amazing culinary experience.,Food,breakfast buffet amazing culinary experience
The dining was bland.,Food,dining bland
We were greeted by a unhelpful receptionist.,Services,greeted unhelpful receptionist
Room service brought us cold wine.,Food,roomservice brought u cold wine
Housekeeping did not clean the acoustics.,Rooms,housekeeping not clean acoustic
We were greeted by a professional receptionist.,Services,greeted professional receptionist
Our room was very dirty and had a great pillow.,Rooms,room dirty great pillow
The balcony in my room was noisy.,Rooms,balcony room noisy
Bathroom wifi was dated.,Rooms,bathroom wifi dated
Dining experience was bad because of the spicy dessert.,Food,dining experience bad spicy dessert
The staff at the front desk were warm.,Services,staff front desk warm
The bellboy was very rude.,Services,bellboy rude
"The suite needs renovation, especially the balcony.",Rooms,suite need renovation especially balcony
Our room was very clean and had a great wifi.,Rooms,room clean great wifi
My kids loved the excursion.,Recreation,kid loved excursion
"Service was polite, especially the staff.",Services,service polite especially staff
"Don't miss the massage, it is cheap.",Recreation,dont miss massage cheap
I complained to the service personnel.,Services,complained service personnel
The rice presentation was meager.,Food,rice presentation meager
My kids loved the massage.,Recreation,kid loved massage
Bathroom carpet was worn out.,Rooms,bathroom carpet worn
Room service brought us cold salad.,Food,roomservice brought u cold salad
My kids loved the gym.,Recreation,kid loved gym
I complained to the waiter.,Services,complained waiter
The spa equipment was expensive.,Recreation,spa equipment expensive
We spent all day at the bar.,Recreation,spent day bar
The beach area was dirty.,Recreation,beach area dirty
"Don't miss the excursion, it is closed.",Recreation,dont miss excursion closed
The sheets made the stay modern.,Rooms,sheet made stay modern
Our room was very questionable and had a great fridge.,Rooms,room questionable great fridge
The staff at the front desk were rude.,Services,staff front desk rude
"Don't miss the entertainment, it is crowded.",Recreation,dont miss entertainment crowded
I complained to the receptionist.,Services,complained receptionist
Breakfast buffet had amazing dining.,Food,breakfast buffet amazing dining
"We loved the wifi, it was so worn out.",Rooms,loved wifi worn
We waited too long for the front desk agent.,Services,waited long front desk agent
Bathroom suite aesthetic was noisy.,Rooms,bathroom suite aesthetic noisy
We spent all day at the fitness area.,Recreation,spent day fitness area
The fitness area area was crowded.,Recreation,fitness area area crowded
Check-in was professional thanks to the staff.,Services,checkin professional thanks staff
The staff at the front desk were careless.,Services,staff front desk careless
Room service brought us cold gastronomy.,Food,roomservice brought u cold gastronomy
Check-in was fast thanks to the manager.,Services,checkin fast thanks manager
The staff at the front desk were polite.,Services,staff front desk polite
"The suite needs renovation, especially the bed.",Rooms,suite need renovation especially bed
Sleeping was hard because of the wifi.,Rooms,sleeping hard wifi
Amazing hospitality from the cleaning staff.,Services,amazing hospitality cleaning staff
"The suite needs renovation, especially the shower.",Rooms,suite need renovation especially shower
I ordered coffee and it tasted greasy.,Food,ordered coffee tasted greasy
Housekeeping did not clean the decor.,Rooms,housekeeping not clean decor
The tea was fresh.,Food,tea fresh
Our room was very dirty and had a great acoustics.,Rooms,room dirty great acoustic
We were greeted by a polite service personnel.,Services,greeted polite service personnel
The wellness center equipment was amazing.,Recreation,wellness center equipment amazing
Breakfast buffet had amazing pizza.,Food,breakfast buffet amazing pizza
Swimming in the aquatic facility was the highlight.,Recreation,swimming aquatic facility highlight
We waited too long for the manager.,Services,waited long manager
Bathroom shower was dusty.,Rooms,bathroom shower dusty
Sleeping was hard because of the door.,Rooms,sleeping hard door
We were greeted by a unhelpful front desk agent.,Services,greeted unhelpful front desk agent
Bathroom shower was worn out.,Rooms,bathroom shower worn
Bathroom sink was broken.,Rooms,bathroom sink broken
The aquatic facility area was relaxing.,Recreation,aquatic facility area relaxing
The staff at the front desk were welcoming.,Services,staff front desk welcoming
I ordered salad and it tasted undercooked.,Food,ordered salad tasted undercooked
Our room was very smelly and had a great suite aesthetic.,Rooms,room smelly great suite aesthetic
"Service was polite, especially the manager.",Services,service polite especially manager
The protein was overcooked.,Food,protein overcooked
We waited too long for the cleaning staff.,Services,waited long cleaning staff
Housekeeping did not clean the shower.,Rooms,housekeeping not clean shower
Room service brought us cold coffee.,Food,roomservice brought u cold coffee
The salad was bland.,Food,salad bland
Check-in was arrogant thanks to the hospitality team.,Services,checkin arrogant thanks hospitality team
We ate at the restaurant and had culinary experience.,Food,ate restaurant culinary experience
Dining experience was bad because of the undercooked steak.,Food,dining experience bad undercooked steak
Sleeping was hard because of the suite aesthetic.,Rooms,sleeping hard suite aesthetic
"Don't miss the fitness area, it is relaxing.",Recreation,dont miss fitness area relaxing
We were greeted by a professional cleaning staff.,Services,greeted professional cleaning staff
I ordered burger and it tasted bland.,Food,ordered burger tasted bland
We waited too long for the service personnel.,Services,waited long service personnel
"Don't miss the entertainment, it is unsafe.",Recreation,dont miss entertainment unsafe
The service personnel was very careless.,Services,service personnel careless
The dining was spicy.,Food,dining spicy
We were greeted by a slow bartender.,Services,greeted slow bartender
"Service was professional, especially the manager.",Services,service professional especially manager
The sound insulation made the stay noisy.,Rooms,sound insulation made stay noisy
"The suite needs renovation, especially the fridge.",Rooms,suite need renovation especially fridge
The lights in my room was questionable.,Rooms,light room questionable
We waited too long for the front desk agent.,Services,waited long front desk agent
We spent all day at the fitness area.,Recreation,spent day fitness area
I complained to the porter.,Services,complained porter
"The suite needs renovation, especially the view.",Rooms,suite need renovation especially view
The menu options presentation was dry.,Food,menu option presentation dry
The buffet presentation was fresh.,Food,buffet presentation fresh
Swimming in the fitness area was the highlight.,Recreation,swimming fitness area highlight
We waited too long for the concierge.,Services,waited long concierge
Check-in was unhelpful thanks to the bartender.,Services,checkin unhelpful thanks bartender
We were greeted by a rude porter.,Services,greeted rude porter
Room service brought us cold beer.,Food,roomservice brought u cold beer
The cleaning staff was very friendly.,Services,cleaning staff friendly
The bar area was relaxing.,Recreation,bar area relaxing
We ate at the restaurant and had wine.,Food,ate restaurant wine
We waited too long for the hospitality team.,Services,waited long hospitality team
The hotel has a great pool.,Recreation,hotel great pool
The window in my room was quiet.,Rooms,window room quiet
