text,category,action
"Nothing to do here, pool is useless.",Recreation,Upgrade Pool & Activities
The balcony in my room was old.,Rooms,Inspect Room & Maintenance
The toilet in my room was smells bad.,Rooms,Inspect Room & Maintenance
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
The guy at the gym was very lazy.,Services,Staff Training Required
The tennis court was very crowded.,Recreation,Upgrade Pool & Activities
"Terrible dining experience, dessert tasted terrible.",Food,Review Menu & Kitchen Quality
The gym area is outdated and needs attention.,Recreation,Upgrade Pool & Activities
"Disappointed with the tennis court, it was crowded.",Recreation,Upgrade Pool & Activities
I ordered tea but it was not fresh.,Food,Review Menu & Kitchen Quality
We were treated poorly by a aggressive manager.,Services,Staff Training Required
"Disappointed with the kids club, it was cold.",Recreation,Upgrade Pool & Activities
The room smells like mildew.,Rooms,Inspect Room & Maintenance
"We had issues with the shower, it was smells like dog.",Rooms,Inspect Room & Maintenance
"Food quality is oily, especially the breakfast.",Food,Review Menu & Kitchen Quality
"Disappointed with the spa, it was cold.",Recreation,Upgrade Pool & Activities
The entertainment area is crowded and needs attention.,Recreation,Upgrade Pool & Activities
The spa was very crowded.,Recreation,Upgrade Pool & Activities
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
We found the chicken to be dry and cold.,Food,Review Menu & Kitchen Quality
"We were bored, the pool needs an upgrade.",Recreation,Upgrade Pool & Activities
"Nothing to do here, games is dirty.",Recreation,Upgrade Pool & Activities
"Food quality is greasy, especially the pizza.",Food,Review Menu & Kitchen Quality
"Disappointed with the bar, it was outdated.",Recreation,Upgrade Pool & Activities
"Bathroom was disgusting, ceiling was leaking.",Rooms,Inspect Room & Maintenance
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
We found the burger to be raw and oily.,Food,Review Menu & Kitchen Quality
I ordered chicken but it was not fresh.,Food,Review Menu & Kitchen Quality
We found the pizza to be raw and cold.,Food,Review Menu & Kitchen Quality
The bar was very crowded.,Recreation,Upgrade Pool & Activities
"We were bored, the music needs an upgrade.",Recreation,Upgrade Pool & Activities
"We were bored, the bar needs an upgrade.",Recreation,Upgrade Pool & Activities
"Hotel needs more fun, tennis court was closed.",Recreation,Upgrade Pool & Activities
The buffet was dry.,Food,Review Menu & Kitchen Quality
The staff was extremely impolite.,Services,Staff Training Required
The room smells like sewage.,Rooms,Inspect Room & Maintenance
"Nothing to do here, music is useless.",Recreation,Upgrade Pool & Activities
"Nothing to do here, activities is expensive.",Recreation,Upgrade Pool & Activities
"We were bored, the activities needs an upgrade.",Recreation,Upgrade Pool & Activities
I asked for a towel at the pool but the staff scolded me.,Services,Staff Training Required
I ordered breakfast but it smelled bad.,Food,Review Menu & Kitchen Quality
"Hotel needs more fun, gym was useless.",Recreation,Upgrade Pool & Activities
"Hotel needs more fun, gym was boring.",Recreation,Upgrade Pool & Activities
"Please fix the toilet, it is broken.",Rooms,Inspect Room & Maintenance
"Zero service at the beach bar, we waited 20 mins.",Services,Staff Training Required
The guy at the gym was very unhelpful.,Services,Staff Training Required
"We were bored, the kids club needs an upgrade.",Recreation,Upgrade Pool & Activities
Room 201 has a broken sheets.,Rooms,Inspect Room & Maintenance
"Food quality is dry, especially the steak.",Food,Review Menu & Kitchen Quality
Room 201 has a broken fridge.,Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, dessert was cold.",Food,Review Menu & Kitchen Quality
The curtain smells like sewage.,Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, curry was stale.",Food,Review Menu & Kitchen Quality
"Please fix the carpet, it is damaged.",Rooms,Inspect Room & Maintenance
"Staff training is needed, cleaning staff was incompetent.",Services,Staff Training Required
We were treated poorly by a lazy concierge.,Services,Staff Training Required
I ordered coffee but it lacked flavor.,Food,Review Menu & Kitchen Quality
I ordered curry but it lacked flavor.,Food,Review Menu & Kitchen Quality
The spa was very crowded.,Recreation,Upgrade Pool & Activities
"Kitchen needs improvement, fish was dry.",Food,Review Menu & Kitchen Quality
"We were bored, the entertainment needs an upgrade.",Recreation,Upgrade Pool & Activities
"We had issues with the lock, it was moldy.",Rooms,Inspect Room & Maintenance
I complained to the concierge but they did check on us.,Services,Staff Training Required
"Hotel needs more fun, spa was outdated.",Recreation,Upgrade Pool & Activities
"Disappointed with the spa, it was useless.",Recreation,Upgrade Pool & Activities
"We were bored, the pool needs an upgrade.",Recreation,Upgrade Pool & Activities
The bar was very crowded.,Recreation,Upgrade Pool & Activities
"We were bored, the beach needs an upgrade.",Recreation,Upgrade Pool & Activities
The curry was undercooked.,Food,Review Menu & Kitchen Quality
"We had issues with the AC, it was clogged.",Rooms,Inspect Room & Maintenance
"Staff training is needed, concierge was arrogant.",Services,Staff Training Required
Very unfriendly behavior from the receptionist.,Services,Staff Training Required
"Nothing to do here, tennis court is outdated.",Recreation,Upgrade Pool & Activities
Very rude behavior from the bartender.,Services,Staff Training Required
The balcony makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Room maintenance is poor, TV kept making noise.",Rooms,Inspect Room & Maintenance
I cannot get the window to lock.,Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, dessert was cold.",Food,Review Menu & Kitchen Quality
I asked for a towel at the pool but the staff kept us waiting.,Services,Staff Training Required
"Terrible dining experience, steak was waste of money.",Food,Review Menu & Kitchen Quality
"Staff training is needed, manager was rude.",Services,Staff Training Required
"Staff training is needed, employee was arrogant.",Services,Staff Training Required
"Kitchen needs improvement, rice was raw.",Food,Review Menu & Kitchen Quality
"Nothing to do here, gym is expensive.",Recreation,Upgrade Pool & Activities
The toilet makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
The tennis court was very crowded.,Recreation,Upgrade Pool & Activities
Very unfriendly behavior from the bellboy.,Services,Staff Training Required
"We had issues with the ceiling, it was damp.",Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, pasta was bland.",Food,Review Menu & Kitchen Quality
The cake was dry.,Food,Review Menu & Kitchen Quality
"Food quality is awful, especially the chicken.",Food,Review Menu & Kitchen Quality
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
I complained to the concierge but they kept us waiting.,Services,Staff Training Required
"Room maintenance is poor, air conditioner kept failing.",Rooms,Inspect Room & Maintenance
I cannot get the main door to lock.,Rooms,Inspect Room & Maintenance
The staff was extremely unhelpful.,Services,Staff Training Required
I complained to the cleaning staff but they forgot our order.,Services,Staff Training Required
Room 201 has a smells bad carpet.,Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, burger was salty.",Food,Review Menu & Kitchen Quality
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
I asked for a towel at the pool but the staff scolded me.,Services,Staff Training Required
"Service was terrible, the concierge was on their phone.",Services,Staff Training Required
The entertainment area is outdated and needs attention.,Recreation,Upgrade Pool & Activities
I ordered breakfast but it was disappointing.,Food,Review Menu & Kitchen Quality
The cake was oily.,Food,Review Menu & Kitchen Quality
Nobody at the bar seemed interested in serving us.,Services,Staff Training Required
"We were bored, the pool needs an upgrade.",Recreation,Upgrade Pool & Activities
I complained to the manager but they forgot our order.,Services,Staff Training Required
"Hotel needs more fun, spa was empty.",Recreation,Upgrade Pool & Activities
"We had issues with the lock, it was old.",Rooms,Inspect Room & Maintenance
I ordered cake but it made me sick.,Food,Review Menu & Kitchen Quality
The staff was extremely angry.,Services,Staff Training Required
"Staff training is needed, server was angry.",Services,Staff Training Required
"Please fix the balcony, it is damp.",Rooms,Inspect Room & Maintenance
The pool area is useless and needs attention.,Recreation,Upgrade Pool & Activities
The staff was extremely aggressive.,Services,Staff Training Required
The chicken was bland.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, dessert tasted terrible.",Food,Review Menu & Kitchen Quality
"We were bored, the pool needs an upgrade.",Recreation,Upgrade Pool & Activities
"Hotel needs more fun, kids club was dirty.",Recreation,Upgrade Pool & Activities
The guy at the pool was very unfriendly.,Services,Staff Training Required
We found the breakfast to be salty and greasy.,Food,Review Menu & Kitchen Quality
The carpet smells like mildew.,Rooms,Inspect Room & Maintenance
I ordered breakfast but it lacked flavor.,Food,Review Menu & Kitchen Quality
I cannot get the window to lock.,Rooms,Inspect Room & Maintenance
"Zero service at the rooftop bar, we waited 20 mins.",Services,Staff Training Required
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
We were treated poorly by a unfriendly bellboy.,Services,Staff Training Required
"Bathroom was disgusting, balcony was dusty.",Rooms,Inspect Room & Maintenance
The ceiling makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Please fix the door, it is dusty.",Rooms,Inspect Room & Maintenance
The manager was extremely unfriendly.,Services,Staff Training Required
"We were bored, the bar needs an upgrade.",Recreation,Upgrade Pool & Activities
The guy at the tennis court was very unhelpful.,Services,Staff Training Required
The toilet makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, buffet was undercooked.",Food,Review Menu & Kitchen Quality
"Hotel needs more fun, games was dirty.",Recreation,Upgrade Pool & Activities
"Hotel needs more fun, beach was boring.",Recreation,Upgrade Pool & Activities
"Bathroom was disgusting, AC was not working.",Rooms,Inspect Room & Maintenance
"Staff training is needed, concierge was lazy.",Services,Staff Training Required
We were treated poorly by a lazy server.,Services,Staff Training Required
"We had issues with the TV, it was dusty.",Rooms,Inspect Room & Maintenance
"Nothing to do here, games is boring.",Recreation,Upgrade Pool & Activities
"Room maintenance is poor, balcony kept making noise.",Rooms,Inspect Room & Maintenance
The entertainment area is useless and needs attention.,Recreation,Upgrade Pool & Activities
"Please fix the lights, it is smells bad.",Rooms,Inspect Room & Maintenance
"Disappointed with the kids club, it was closed.",Recreation,Upgrade Pool & Activities
"Terrible dining experience, curry was not good.",Food,Review Menu & Kitchen Quality
"We were bored, the entertainment needs an upgrade.",Recreation,Upgrade Pool & Activities
The fan makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Hotel needs more fun, spa was empty.",Recreation,Upgrade Pool & Activities
The bed smells like wet dog.,Rooms,Inspect Room & Maintenance
I complained to the manager but they did check on us.,Services,Staff Training Required
The pasta was burned.,Food,Review Menu & Kitchen Quality
"Disappointed with the entertainment, it was closed.",Recreation,Upgrade Pool & Activities
The bellboy was extremely aggressive.,Services,Staff Training Required
"We were bored, the bar needs an upgrade.",Recreation,Upgrade Pool & Activities
"Zero service at the beach bar, we waited 20 mins.",Services,Staff Training Required
I cannot get the window to lock.,Rooms,Inspect Room & Maintenance
I ordered pizza but it was disappointing.,Food,Review Menu & Kitchen Quality
Very lazy behavior from the server.,Services,Staff Training Required
Very unfriendly behavior from the bartender.,Services,Staff Training Required
"Food quality is inadible, especially the pizza.",Food,Review Menu & Kitchen Quality
"Staff training is needed, waiter was mean.",Services,Staff Training Required
The gym was very cold.,Recreation,Upgrade Pool & Activities
"Hotel needs more fun, tennis court was crowded.",Recreation,Upgrade Pool & Activities
"Kitchen needs improvement, pizza was undercooked.",Food,Review Menu & Kitchen Quality
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
"Kitchen needs improvement, burger was dry.",Food,Review Menu & Kitchen Quality
"Disappointed with the activities, it was expensive.",Recreation,Upgrade Pool & Activities
"Hotel needs more fun, bar was boring.",Recreation,Upgrade Pool & Activities
The server was extremely aggressive.,Services,Staff Training Required
"Food quality is awful, especially the dessert.",Food,Review Menu & Kitchen Quality
Room 201 has a moldy bed.,Rooms,Inspect Room & Maintenance
"Room maintenance is poor, lights kept making noise.",Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, steak was oily.",Food,Review Menu & Kitchen Quality
"Kitchen needs improvement, breakfast was cold.",Food,Review Menu & Kitchen Quality
"Disappointed with the pool, it was useless.",Recreation,Upgrade Pool & Activities
"Disappointed with the tennis court, it was crowded.",Recreation,Upgrade Pool & Activities
"Staff training is needed, bartender was lazy.",Services,Staff Training Required
The TV in my room was broken.,Rooms,Inspect Room & Maintenance
The entertainment was very cold.,Recreation,Upgrade Pool & Activities
Nobody at the bar seemed interested in serving us.,Services,Staff Training Required
"Terrible dining experience, curry was disappointing.",Food,Review Menu & Kitchen Quality
The TV makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
The manager was extremely arrogant.,Services,Staff Training Required
We found the fish to be salty and bland.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, dessert was waste of money.",Food,Review Menu & Kitchen Quality
"Service was terrible, the employee refused to help.",Services,Staff Training Required
The ceiling in my room was wet.,Rooms,Inspect Room & Maintenance
"Room maintenance is poor, lights kept making noise.",Rooms,Inspect Room & Maintenance
I asked for a towel at the pool but the staff did check on us.,Services,Staff Training Required
"Terrible dining experience, soup made me sick.",Food,Review Menu & Kitchen Quality
"Kitchen needs improvement, pasta was inadible.",Food,Review Menu & Kitchen Quality
The buffet was salty.,Food,Review Menu & Kitchen Quality
"Service was terrible, the server scolded me.",Services,Staff Training Required
"Kitchen needs improvement, chicken was tasteless.",Food,Review Menu & Kitchen Quality
We were treated poorly by a unprofessional manager.,Services,Staff Training Required
"Kitchen needs improvement, coffee was awful.",Food,Review Menu & Kitchen Quality
"Staff training is needed, waiter was aggressive.",Services,Staff Training Required
"Terrible dining experience, coffee was not fresh.",Food,Review Menu & Kitchen Quality
The staff was extremely unfriendly.,Services,Staff Training Required
The fan in my room was clogged.,Rooms,Inspect Room & Maintenance
We were treated poorly by a incompetent employee.,Services,Staff Training Required
"Kitchen needs improvement, steak was greasy.",Food,Review Menu & Kitchen Quality
"Terrible dining experience, soup made me sick.",Food,Review Menu & Kitchen Quality
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
Very unprofessional behavior from the bellboy.,Services,Staff Training Required
"Hotel needs more fun, tennis court was cold.",Recreation,Upgrade Pool & Activities
There is a weird dripping sound coming from the bathroom.,Rooms,Inspect Room & Maintenance
