text,action,category,cleaned_text,char_count,word_count,sentiment_score
Not happy. The bill included a service charge that was not mentioned.,Compensate Guest,Food,not happy the bill included a service charge that wa not mentioned,69,12,0
Check-in line was huge and only one counter open. Terrible.,Review Check-in Process,Services,checkin line wa huge and only one counter open terrible,59,10,-1
"Honestly, there was a spider on the pillow.",Pest Control Investigation,Rooms,honestly there wa a spider on the pillow,43,8,0
Review: There was a spider on the pillow.,Pest Control Investigation,Rooms,review there wa a spider on the pillow,41,8,0
"Honestly, no one came to clear our table for 30 minutes.",Staff Training (Food),Food,honestly no one came to clear our table for minute,56,11,0
Feedback: There was a spider on the pillow.,Pest Control Investigation,Rooms,feedback there wa a spider on the pillow,43,8,0
I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms,i think i saw a mouse behind the curtain,41,9,0
Pool attendant refused to give me a towel.,Recreation Staff Review,Recreation,pool attendant refused to give me a towel,42,8,0
"Honestly, concierge was unable to give simple directions.",Staff Communication Training,Services,honestly concierge wa unable to give simple direction,57,8,0
the bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms,the bathroom tile had mold in the grout,41,8,-1
Not happy. There was a spider on the pillow.,Pest Control Investigation,Rooms,not happy there wa a spider on the pillow,44,9,0
Not happy. There was a spider on the pillow.,Pest Control Investigation,Rooms,not happy there wa a spider on the pillow,44,9,0
Action needed: Lizard on the ceiling.,Pest Control Investigation,Rooms,action needed lizard on the ceiling,37,6,0
Action needed: We were promised a complimentary drink but never got it.,Compensate Guest,Food,action needed we were promised a complimentary drink but never got it,71,12,0
Review: Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms,review window were dirty and hard to see through,51,9,-1
The sheets had spots and didn't look fresh. Terrible.,Deep Clean & Maintenance,Rooms,the sheet had spot and didnt look fresh terrible,53,9,-1
Mosquitoes in the room kept me up all night. Terrible.,Pest Control Investigation,Rooms,mosquito in the room kept me up all night terrible,54,10,-1
The menu options are very limited and boring.,Revise Menu Quality,Food,the menu option are very limited and boring,45,8,0
"Honestly, lobby is chaotic and disorganized.",Review Check-in Process,Services,honestly lobby is chaotic and disorganized,44,6,0
"Honestly, scum line around the edge of the pool.",Pool Maintenance,Recreation,honestly scum line around the edge of the pool,48,9,0
Not happy. Asked for no onions but got onions anyway.,Staff Training (Food),Food,not happy asked for no onion but got onion anyway,53,10,0
Feedback: The bill included a service charge that was not mentioned.,Compensate Guest,Food,feedback the bill included a service charge that wa not mentioned,68,11,0
Not happy. Flies buzzing around the room constantly.,Pest Control Investigation,Rooms,not happy fly buzzing around the room constantly,52,8,0
"Honestly, staff was arguing loudly in the hallway.",Disciplinary Action,Services,honestly staff wa arguing loudly in the hallway,50,8,0
not enough vegetarian or vegan options.,Revise Menu Quality,Food,not enough vegetarian or vegan option,39,6,0
Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food,saw a cockroach near the kitchen entrance,42,7,0
Feedback: The concierge made a rude comment about my appearance.,Disciplinary Action,Services,feedback the concierge made a rude comment about my appearance,64,10,-1
The sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms,the sheet had spot and didnt look fresh,43,8,0
Feedback: There was a spider on the pillow.,Pest Control Investigation,Rooms,feedback there wa a spider on the pillow,43,8,0
Not happy. Pool shower wasn't working.,Pool Maintenance,Recreation,not happy pool shower wasnt working,38,6,0
"Honestly, they refused to accept my voucher.",Compensate Guest,Food,honestly they refused to accept my voucher,44,7,0
I want a refund for this terrible meal. Terrible.,Compensate Guest,Food,i want a refund for this terrible meal terrible,49,9,-1
The bill included a service charge that was not mentioned.,Compensate Guest,Food,the bill included a service charge that wa not mentioned,58,10,0
Action needed: Curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms,action needed curtain were dusty and triggered my allergy,62,9,0
Action needed: The pool water was cloudy and green.,Pool Maintenance,Recreation,action needed the pool water wa cloudy and green,51,9,0
staff seemed confused by the check-in software.,Review Check-in Process,Services,staff seemed confused by the checkin software,47,7,0
Review: Housekeeper stole money from my wallet.,Disciplinary Action,Services,review housekeeper stole money from my wallet,47,7,0
Action needed: Front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services,action needed front desk staff gave u wrong information about breakfast,74,11,0
Conflicting information from different staff members.,Staff Communication Training,Services,conflicting information from different staff member,53,6,0
Debris and leaves floating in the water. Terrible.,Pool Maintenance,Recreation,debris and leaf floating in the water terrible,50,8,-1
Feedback: They didn't tell us the pool was under maintenance.,Staff Communication Training,Services,feedback they didnt tell u the pool wa under maintenance,61,10,0
System crashed during check-in.,Review Check-in Process,Services,system crashed during checkin,31,4,0
"Honestly, lobby is chaotic and disorganized.",Review Check-in Process,Services,honestly lobby is chaotic and disorganized,44,6,0
"Honestly, bed bugs bit me all over my legs.",Pest Control Investigation,Rooms,honestly bed bug bit me all over my leg,43,9,0
entertainment team was low energy and boring.,Recreation Staff Review,Recreation,entertainment team wa low energy and boring,45,7,0
Review: The plates were dirty and had leftover food stains.,Inspect Kitchen Hygiene,Food,review the plate were dirty and had leftover food stain,59,10,-1
Not happy. Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms,not happy air conditioner is loud and barely cool the room,61,11,0
The presentation of the dishes was poor. Terrible.,Revise Menu Quality,Food,the presentation of the dish wa poor terrible,50,8,-2
"Staff speaks very poor English, hard to communicate. Terrible.",Staff Communication Training,Services,staff speaks very poor english hard to communicate terrible,62,9,-2
Not happy. Treadmills were all out of order.,Update Gym Equipment,Recreation,not happy treadmill were all out of order,44,8,0
"Honestly, it took 45 minutes just to check in.",Review Check-in Process,Services,honestly it took minute just to check in,46,9,0
Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms,dead bug on the windowsill,28,5,0
Employee was on their phone ignoring guests. Terrible.,Disciplinary Action,Services,employee wa on their phone ignoring guest terrible,54,8,-1
Action needed: Treadmills were all out of order.,Update Gym Equipment,Recreation,action needed treadmill were all out of order,48,8,0
Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms,found trash from previous guest in the drawer,47,8,0
"Honestly, treadmills were all out of order.",Update Gym Equipment,Recreation,honestly treadmill were all out of order,43,7,0
"Honestly, pool ladders are loose and dangerous.",Pool Maintenance,Recreation,honestly pool ladder are loose and dangerous,47,7,0
Not happy. Staff member laughed at my complaint.,Disciplinary Action,Services,not happy staff member laughed at my complaint,48,8,0
Not happy. They refused to accept my voucher.,Compensate Guest,Food,not happy they refused to accept my voucher,45,8,0
"Honestly, bed bugs bit me all over my legs.",Pest Control Investigation,Rooms,honestly bed bug bit me all over my leg,43,9,0
Review: Staff member laughed at my complaint.,Disciplinary Action,Services,review staff member laughed at my complaint,45,7,0
Action needed: Not enough weights for a proper workout.,Update Gym Equipment,Recreation,action needed not enough weight for a proper workout,55,9,0
"Honestly, they charged us for items we didn't order.",Compensate Guest,Food,honestly they charged u for item we didnt order,52,9,0
Feedback: Curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms,feedback curtain were dusty and triggered my allergy,57,8,0
Feedback: Bartender was visibly drunk.,Disciplinary Action,Services,feedback bartender wa visibly drunk,38,5,0
Action needed: I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms,action needed i think i saw a mouse behind the curtain,56,11,0
"Honestly, asked for no onions but got onions anyway.",Staff Training (Food),Food,honestly asked for no onion but got onion anyway,52,9,0
Unprofessional behavior from the night manager. Terrible.,Disciplinary Action,Services,unprofessional behavior from the night manager terrible,57,7,-1
Pool shower wasn't working. Terrible.,Pool Maintenance,Recreation,pool shower wasnt working terrible,37,5,-1
The room smelled like stale cigarette smoke. Terrible.,Deep Clean & Maintenance,Rooms,the room smelled like stale cigarette smoke terrible,54,8,-1
Feedback: The server was rude when I asked for water.,Staff Training (Food),Food,feedback the server wa rude when i asked for water,53,10,-1
Feedback: Valet scratched my car and denied it.,Disciplinary Action,Services,feedback valet scratched my car and denied it,47,8,0
Not happy. The room is infested with insects.,Pest Control Investigation,Rooms,not happy the room is infested with insect,45,8,0
They didn't tell us the pool was under maintenance. Terrible.,Staff Communication Training,Services,they didnt tell u the pool wa under maintenance terrible,61,10,-1
"Not happy. Too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation,not happy too much chlorine in the pool burned my eye,57,11,0
The food tasted slightly spoiled and smelled bad. Terrible.,Inspect Kitchen Hygiene,Food,the food tasted slightly spoiled and smelled bad terrible,59,9,-2
"The gym smells like sweat, no ventilation. Terrible.",Update Gym Equipment,Recreation,the gym smell like sweat no ventilation terrible,52,8,-1
Action needed: Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms,action needed air conditioner is loud and barely cool the room,65,11,0
Not happy. Service in the restaurant was incredibly slow.,Staff Training (Food),Food,not happy service in the restaurant wa incredibly slow,57,9,0
Action needed: Not enough vegetarian or vegan options.,Revise Menu Quality,Food,action needed not enough vegetarian or vegan option,54,8,0
"Honestly, the plates were dirty and had leftover food stains.",Inspect Kitchen Hygiene,Food,honestly the plate were dirty and had leftover food stain,61,10,-1
"Honestly, the room smelled like stale cigarette smoke.",Deep Clean & Maintenance,Rooms,honestly the room smelled like stale cigarette smoke,54,8,0
Feedback: Scum line around the edge of the pool.,Pool Maintenance,Recreation,feedback scum line around the edge of the pool,48,9,0
"Honestly, they refused to accept my voucher.",Compensate Guest,Food,honestly they refused to accept my voucher,44,7,0
Action needed: They demanded a cash deposit unexpectedly.,Review Check-in Process,Services,action needed they demanded a cash deposit unexpectedly,57,8,0
Feedback: Pool attendant refused to give me a towel.,Recreation Staff Review,Recreation,feedback pool attendant refused to give me a towel,52,9,0
Not happy. The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms,not happy the toilet wasnt flushed when we arrived,53,9,0
Feedback: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services,feedback room wasnt ready at pm checkin time,50,9,0
The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms,the hairdryer provided is useless and overheating,50,7,0
Action needed: They demanded a cash deposit unexpectedly.,Review Check-in Process,Services,action needed they demanded a cash deposit unexpectedly,57,8,0
Cockroach in the shower.,Pest Control Investigation,Rooms,cockroach in the shower,24,4,0
Not happy. No one came to clear our table for 30 minutes.,Staff Training (Food),Food,not happy no one came to clear our table for minute,57,12,0
Feedback: The server was rude when I asked for water.,Staff Training (Food),Food,feedback the server wa rude when i asked for water,53,10,-1
Service in the restaurant was incredibly slow.,Staff Training (Food),Food,service in the restaurant wa incredibly slow,46,7,0
Review: Asked for no onions but got onions anyway.,Staff Training (Food),Food,review asked for no onion but got onion anyway,50,9,0
they refused to accept my voucher.,Compensate Guest,Food,they refused to accept my voucher,34,6,0
Review: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms,review the tv is tiny and ha no channel,43,9,0
"Honestly, unprofessional behavior from the night manager.",Disciplinary Action,Services,honestly unprofessional behavior from the night manager,57,7,0
Cockroach in the shower. Terrible.,Pest Control Investigation,Rooms,cockroach in the shower terrible,34,5,-1
Review: The pasta was overcooked and mushy.,Revise Menu Quality,Food,review the pasta wa overcooked and mushy,43,7,0
Review: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms,review the tv is tiny and ha no channel,43,9,0
"Honestly, the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation,honestly the gym smell like sweat no ventilation,52,8,0
"Honestly, tennis coach didn't show up for the lesson.",Recreation Staff Review,Recreation,honestly tennis coach didnt show up for the lesson,53,9,0
Feedback: Lobby is chaotic and disorganized.,Review Check-in Process,Services,feedback lobby is chaotic and disorganized,44,6,0
Not happy. The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms,not happy the toilet wasnt flushed when we arrived,53,9,0
Action needed: Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms,action needed window were dirty and hard to see through,58,10,-1
elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation,elliptical machine make a squeaking sound,43,6,0
Scum line around the edge of the pool.,Pool Maintenance,Recreation,scum line around the edge of the pool,38,8,0
bellboy didn't explain how to use the key card.,Staff Communication Training,Services,bellboy didnt explain how to use the key card,47,9,0
Not happy. Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,not happy kid club staff seemed bored and inattentive,56,9,0
Review: The bill included a service charge that was not mentioned.,Compensate Guest,Food,review the bill included a service charge that wa not mentioned,66,11,0
"Action needed: The gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation,action needed the gym smell like sweat no ventilation,57,9,0
Not happy. The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms,not happy the tv is tiny and ha no channel,46,10,0
Action needed: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms,action needed the tv is tiny and ha no channel,50,10,0
"Honestly, they didn't tell us the pool was under maintenance.",Staff Communication Training,Services,honestly they didnt tell u the pool wa under maintenance,61,10,0
Feedback: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation,feedback beach staff demanded tip for chair,47,7,0
Yoga mats are torn and dirty.,Update Gym Equipment,Recreation,yoga mat are torn and dirty,29,6,-1
Review: The presentation of the dishes was poor.,Revise Menu Quality,Food,review the presentation of the dish wa poor,48,8,-1
"Honestly, lifeguard was on their phone the whole time.",Recreation Staff Review,Recreation,honestly lifeguard wa on their phone the whole time,54,9,0
Pool shower wasn't working.,Pool Maintenance,Recreation,pool shower wasnt working,27,4,0
The steak was tough and flavorless.,Revise Menu Quality,Food,the steak wa tough and flavorless,35,6,0
It took 45 minutes just to check in.,Review Check-in Process,Services,it took minute just to check in,36,8,0
they refused to accept my voucher.,Compensate Guest,Food,they refused to accept my voucher,34,6,0
"Honestly, the salad was wilted and brown.",Inspect Kitchen Hygiene,Food,honestly the salad wa wilted and brown,41,7,0
Not happy. Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms,not happy evidence of termite in the wooden furniture,56,9,0
Not happy. Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms,not happy air conditioner is loud and barely cool the room,61,11,0
Minibar was empty and not working.,Upgrade Room Amenities,Rooms,minibar wa empty and not working,34,6,0
mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms,mosquito in the room kept me up all night,44,9,0
Action needed: Housekeeper stole money from my wallet.,Disciplinary Action,Services,action needed housekeeper stole money from my wallet,54,8,0
Action needed: Priority check-in for members was not honored.,Review Check-in Process,Services,action needed priority checkin for member wa not honored,61,9,0
Action needed: They refused to accept my voucher.,Compensate Guest,Food,action needed they refused to accept my voucher,49,8,0
the coffee was burnt and bitter.,Revise Menu Quality,Food,the coffee wa burnt and bitter,32,6,0
Not happy. No iron or ironing board in the room.,Upgrade Room Amenities,Rooms,not happy no iron or ironing board in the room,48,10,0
Action needed: Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation,action needed spa therapist wa chatting during the massage,61,9,0
debris and leaves floating in the water.,Pool Maintenance,Recreation,debris and leaf floating in the water,40,7,0
Not happy. Valet scratched my car and denied it.,Disciplinary Action,Services,not happy valet scratched my car and denied it,48,9,0
"Honestly, the toilet wasn't flushed when we arrived.",Deep Clean & Maintenance,Rooms,honestly the toilet wasnt flushed when we arrived,52,8,0
"Honestly, seasonal dishes listed on the menu were not available.",Revise Menu Quality,Food,honestly seasonal dish listed on the menu were not available,64,10,0
I found a hair in my food. Terrible.,Inspect Kitchen Hygiene,Food,i found a hair in my food terrible,36,8,-1
Priority check-in for members was not honored.,Review Check-in Process,Services,priority checkin for member wa not honored,46,7,0
Spa therapist was chatting during the massage. Terrible.,Recreation Staff Review,Recreation,spa therapist wa chatting during the massage terrible,56,8,-1
They didn't tell us the pool was under maintenance. Terrible.,Staff Communication Training,Services,they didnt tell u the pool wa under maintenance terrible,61,10,-1
Feedback: The carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms,feedback the carpet wa stained and smelled of mold,53,9,-1
Tennis coach didn't show up for the lesson. Terrible.,Recreation Staff Review,Recreation,tennis coach didnt show up for the lesson terrible,53,9,-1
Feedback: Everything tastes like frozen food reheated.,Revise Menu Quality,Food,feedback everything taste like frozen food reheated,54,7,0
The plates were dirty and had leftover food stains. Terrible.,Inspect Kitchen Hygiene,Food,the plate were dirty and had leftover food stain terrible,61,10,-2
Action needed: Everything tastes like frozen food reheated.,Revise Menu Quality,Food,action needed everything taste like frozen food reheated,59,8,0
Scum line around the edge of the pool. Terrible.,Pool Maintenance,Recreation,scum line around the edge of the pool terrible,48,9,-1
Priority check-in for members was not honored.,Review Check-in Process,Services,priority checkin for member wa not honored,46,7,0
Lizard on the ceiling.,Pest Control Investigation,Rooms,lizard on the ceiling,22,4,0
Not happy. Everything tastes like frozen food reheated.,Revise Menu Quality,Food,not happy everything taste like frozen food reheated,55,8,0
"staff speaks very poor english, hard to communicate.",Staff Communication Training,Services,staff speaks very poor english hard to communicate,52,8,-1
Not happy. Pool ladders are loose and dangerous.,Pool Maintenance,Recreation,not happy pool ladder are loose and dangerous,48,8,0
"Action needed: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms,action needed towel are thin scratchy and old,50,8,-1
Review: They refused to accept my voucher.,Compensate Guest,Food,review they refused to accept my voucher,42,7,0
Review: Elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation,review elliptical machine make a squeaking sound,51,7,0
Review: Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation,review spa therapist wa chatting during the massage,54,8,0
Bike seat is broken.,Update Gym Equipment,Recreation,bike seat is broken,20,4,-1
Yoga mats are torn and dirty.,Update Gym Equipment,Recreation,yoga mat are torn and dirty,29,6,-1
"Honestly, too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation,honestly too much chlorine in the pool burned my eye,56,10,0
Feedback: Everything tastes like frozen food reheated.,Revise Menu Quality,Food,feedback everything taste like frozen food reheated,54,7,0
Action needed: Staff seemed confused by the check-in software.,Review Check-in Process,Services,action needed staff seemed confused by the checkin software,62,9,0
Feedback: They charged us for items we didn't order.,Compensate Guest,Food,feedback they charged u for item we didnt order,52,9,0
they didn't tell us the pool was under maintenance.,Staff Communication Training,Services,they didnt tell u the pool wa under maintenance,51,9,0
"Honestly, priority check-in for members was not honored.",Review Check-in Process,Services,honestly priority checkin for member wa not honored,56,8,0
not enough weights for a proper workout.,Update Gym Equipment,Recreation,not enough weight for a proper workout,40,7,0
Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food,waiter were ignoring u and chatting among themselves,55,8,0
Not happy. No iron or ironing board in the room.,Upgrade Room Amenities,Rooms,not happy no iron or ironing board in the room,48,10,0
"need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms,need better lighting the room is too dim,42,8,0
Review: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food,review our anniversary dinner wa ruined by the terrible service,66,10,-1
Action needed: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food,action needed they lost our reservation even though we booked week ago,73,12,0
Not happy. Service in the restaurant was incredibly slow.,Staff Training (Food),Food,not happy service in the restaurant wa incredibly slow,57,9,0
Feedback: Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms,feedback air conditioner is loud and barely cool the room,60,10,0
"Honestly, bed bugs bit me all over my legs.",Pest Control Investigation,Rooms,honestly bed bug bit me all over my leg,43,9,0
